folio,calif,fecha,tipo
L000181,77.3,2018,IFT
T000011,77.1,2018,IFT
F000265,68.8,2018,IFT
D000279,60.6,2018,IFT
J000237,57.2,2018,IFT
K000206,52.1,2018,IFT
E000184,50.2,2018,IFT
E000224,49.5,2018,IFT
B000233,49.3,2018,IFT
D000361,48.6,2018,IFT
X000316,48.4,2018,IFT
C000124,48.1,2018,IFT
D000015,44.2,2018,IFT
P000153,43.3,2018,IFT
D000203,37,2018,IFT
H000292,35.2,2018,IFT
D000298,33.1,2018,IFT
V000251,33.1,2018,IFT
J000371,31.3,2018,IFT
W000142,30.6,2018,IFT
7F BA F8,55,2020,IFT
63 35 14,54,2020,IFT
1E C7 E4,53,2020,IFT
13 D7 A0,49,2020,IFT
04 97 9C,48,2020,IFT
7D 61 1F,47,2020,IFT
4C 74 70,44,2020,IFT
8F 73 E6,43,2020,IFT
2E 7A 81,42,2020,IFT
1A C8 20,41,2020,IFT
83 72 E1,35,2020,IFT
8E A6 38,35,2020,IFT
5E 04 2A,34,2020,IFT
96 4D 9B,33,2020,IFT
1D 0A 5B,32,2020,IFT
88 A6 9C,30,2020,IFT
BD FD FA,27,2020,IFT
CA AA 59,26,2020,IFT
FA 71 05,26,2020,IFT
D5 1A 7E,22,2020,IFT
DD 64 1A,22,2020,IFT
16 85 6F,20,2020,IFT
8D FE E2,19,2020,IFT
N000194,75.43,2017,IFT
U000360,71.94,2017,IFT
V000247,70.3,2017,IFT
B000130,66.63,2017,IFT
F000037,66.58,2017,IFT
U000020,65.85,2017,IFT
D000092,65.78,2017,IFT
P000381,65.01,2017,IFT
D000218,61.32,2017,IFT
D000154,60.47,2017,IFT
P000072,58.92,2017,IFT
Z000018,57.3,2017,IFT
J000056,56.96,2017,IFT
X000033,56.36,2017,IFT
G000324,56.31,2017,IFT
H000438,55.26,2017,IFT
D000165,54.42,2017,IFT
N000053,51.9,2017,IFT
P000189,51.11,2017,IFT
V000193,49.43,2017,IFT
B000052,49.38,2017,IFT
F000379,48.89,2017,IFT
Z000021,48.59,2017,IFT
B000470,44,2017,IFT
C000420,42.2,2017,IFT
F000043,34.39,2017,IFT
M000028,68.62,2016,IFT
P000153,64.74,2016,IFT
J000496,64.47,2016,IFT
H000663,64.11,2016,IFT
J000454,63.9,2016,IFT
N000557,62.31,2016,IFT
D000090,62.3,2016,IFT
H000017,60.92,2016,IFT
P000356,60.17,2016,IFT
P000067,60.15,2016,IFT
Z000263,59.82,2016,IFT
D000570,54.89,2016,IFT
J000056,51.97,2016,IFT
J000499,51.76,2016,IFT
H000354,51.76,2016,IFT
P000269,48.99,2016,IFT
P000595,47.18,2016,IFT
L000134,46.69,2016,IFT
N000281,40.79,2016,IFT
L000156,78.2,2015,IFT
L000974,76.92,2015,IFT
F000670,70.97,2015,IFT
D000177,68.86,2015,IFT
B000130,65.02,2015,IFT
Z000058,64.62,2015,IFT
A001040,63.9,2015,IFT
Y000182,63.62,2015,IFT
J000390,62.94,2015,IFT
J000034,61.56,2015,IFT
H001075,60.87,2015,IFT
P000879,60.53,2015,IFT
J000496,60.12,2015,IFT
M000746,57.87,2015,IFT
F000171,55,2015,IFT
L000596,54.7,2015,IFT
C000502,54.11,2015,IFT
